label,HRV,meanX,stdX,magX,meanY,stdY,magY,meanZ,stdZ,magZ,step,distance,home,work,screenTime
1,43.32,-159.08,4.54,1591.45,456.4,34.12,4576.74,-945.37,15.45,9454.96,0,0,0,1,0
1,32.91,-121.16,1.36,1211.68,93.55,1.65,935.65,-1055.42,1.62,10554.21,0,0,0,1,0
1,32.49,-753.74,18.33,7539.63,630.17,76.01,6347.37,-230.89,118.18,2593.76,0,0,0,1,13.802
1,36.88,58.77,115.35,1294.6,479.15,67.98,4839.49,-948.19,42.6,9491.47,0,0,0,1,13.802
0,30.32,-621.45,4.46,6214.66,762.49,7.44,7625.26,-284.07,12.05,2843.26,0,0,0,1,318.749
0,18.02,-248.52,2.79,2485.36,252.33,6.09,2524.04,-1003.46,3.79,10034.67,0,0,0,1,389.209
0,70.07,151.69,348.27,3798.74,675.34,407.22,7886.12,-319.79,528.15,6174.23,60,0,0,1,105.242
1,32.72,-325.09,92.75,3380.61,487.73,398.74,6299.79,-637.29,428.86,7681.51,0,0,0,1,0
1,36.63,-732.83,235.4,7697.09,385.12,136.6,4086.3,-474.05,300.56,5613.03,0,0,0,1,0
1,25.18,-122.16,72.56,1420.86,116.72,111.6,1614.89,-1046.31,38.89,10470.32,0,0,0,1,16.382
0,43.92,-915.47,4.97,9154.83,403.65,18.11,4040.56,69.85,23.07,735.6,117,0,0,1,0
0,31.3,-137.85,50.23,1467.16,735.98,81.38,7404.66,-763.19,82.52,7676.38,0,0,0,1,0
0,28.65,504.05,55.9,5071.4,677.19,75.02,6813.32,-635.97,63.19,6391.02,0,0,0,1,395.845
0,33.55,-670,13.99,6701.46,13.01,26.9,298.79,-804.28,10.11,8043.44,9,0,0,1,146.522
0,13.75,-573.29,289.1,6420.58,669.9,352.24,7568.6,-129.01,222.68,2573.53,15,0,1,0,0
0,44.64,362.7,379.07,5246.37,850.61,232.27,8817.52,-279.64,272.73,3906.16,0,0,1,0,48.79
0,26.65,-892.52,26.26,8929.06,437.48,69.35,4429.42,-162.15,109.1,1954.37,0,0,1,0,117.883
0,24.97,194.3,80.76,2104.17,-16.39,73.78,755.75,970.59,85.27,9743.29,40,0,1,0,68.883
0,38.69,79.96,48.36,934.47,-688.51,67.52,6918.13,-794.59,60.86,7969.17,0,0,1,0,14.863
0,25.74,-131.87,90.39,1598.77,-617.21,127.43,6302.28,-830.03,101.34,8361.94,12,0,1,0,14.863
